121,Abbott,Agee,Ammons,Anderson,Andrews,Asboth,Augur,Baker,Baranco,Barker
Barrett,Belcher,Berry,Beuris,Bohlen,Bowman,Brewer,Browning,Buford,Burke,Byrd
Caldwell,Carpenter,Carr,Carrick,Carroll,Chase,Childers,Clayman,Clifton,Collier
Conrad,Cook,Cooke,Cooper,Couch,Crane,Crawford,Crocker,Cross,Daniels,Darden
Davis,DeBord,Dennis,Dexter,Dolfi,Dowell,Eickhoff,Elliott,English,Falise,Fanslow
Fasano,Finney,Flanary,Forbes,French,Garrett,Garst,Gibbon,Goebel,Gothard,Graham
Hale,Hammonds,Hartman,Heintzelman,Hobbes,Hoyle,Hudson,Hunter,Jarvis,Jeter,Jones
Kearney,Kennedy,Kilpatrick,Kirby,Lampley,Lawson,Lewis,Linder,Lyon,Mann,Marsh
McCall,McGehee,McPherson,Meagher,Miller,Mitchell,Moore,Nelson,Novak,O'Dell
Osterhaus,Owens,Parris,Patterson,Perkins,Plummer,Resch,Richardson,Rozier,Sanborn
Sigel,Slocum,Smith,Snyder,Stahel,Steinwehr,Stevenson,Sykes,Taft,Taylor,Tipton
Wade,Warren,Watson,Webster
